0.29,0.41,1.839,0.483,0.33,0.03,0
0.29,0.411,1.808,0.474,0.329,0.03,0
0.29,0.411,1.822,0.482,0.33,0.03,0
0.29,0.41,1.822,0.481,0.33,0.03,0
0.29,0.408,1.818,0.483,0.33,0.03,0
0.29,0.408,1.809,0.483,0.331,0.03,0
0.29,0.407,1.814,0.483,0.33,0.03,0
0.29,0.407,1.805,0.484,0.33,0.03,0
0.29,0.411,1.789,0.481,0.33,0.03,0
0.29,0.412,1.76,0.473,0.33,0.03,0
0.29,0.41,1.781,0.481,0.33,0.03,0
0.295,0.472,1.619,0.435,0.331,0.03,0
0.29,0.412,1.761,0.481,0.33,0.05,0
0.29,0.412,1.74,0.474,0.331,0.05,0
0.29,0.413,1.755,0.481,0.331,0.06,0
0.29,0.411,1.745,0.485,0.331,0.07,0
0.29,0.413,1.71,0.476,0.331,0.08,0
0.29,0.413,1.726,0.486,0.331,0.08,0
0.29,0.417,1.699,0.485,0.331,0.08,0
0.291,0.426,1.66,0.477,0.331,0.08,0
0.291,0.425,1.622,0.471,0.332,0.09,0
0.291,0.424,1.619,0.474,0.332,0.09,0
0.291,0.426,1.623,0.482,0.332,0.09,0
0.291,0.427,1.607,0.484,0.332,0.09,0
0.291,0.426,1.59,0.485,0.333,0.09,0
0.29,0.424,1.577,0.478,0.333,0.09,0
0.29,0.424,1.563,0.489,0.333,0.09,0
0.29,0.423,1.548,0.49,0.333,0.09,0
0.289,0.424,1.528,0.482,0.333,0.09,0
0.291,0.424,1.515,0.494,0.334,0.09,0
0.292,0.425,1.49,0.493,0.334,0.09,0
0.293,0.427,1.478,0.492,0.335,0.09,0
0.294,0.424,1.465,0.494,0.334,0.09,0
0.294,0.425,1.446,0.493,0.334,0.09,0
0.295,0.425,1.412,0.486,0.334,0.09,0
0.296,0.422,1.418,0.495,0.335,0.09,0
0.297,0.423,1.401,0.494,0.335,0.09,0
0.298,0.423,1.351,0.478,0.335,0.09,0
0.299,0.429,1.332,0.477,0.335,0.09,0
0.299,0.419,1.342,0.488,0.335,0.09,0
0.301,0.424,1.334,0.496,0.336,0.09,0
0.301,0.429,1.296,0.488,0.336,0.09,0
0.302,0.429,1.283,0.487,0.336,0.09,0
0.303,0.44,1.245,0.478,0.337,0.09,0
0.303,0.445,1.227,0.479,0.337,0.1,0
0.305,0.448,1.19,0.472,0.337,0.1,0
0.305,0.455,1.203,0.488,0.337,0.1,0
0.305,0.458,1.166,0.48,0.337,0.1,0
0.305,0.467,1.15,0.479,0.337,0.1,0
0.304,0.689,1.105,0.47,0.338,0.1,0
0.303,0.884,1.107,0.481,0.337,0.1,0
0.302,1.103,1.106,0.488,0.338,0.1,0
0.43,1.313,1.062,0.479,0.338,0.1,-0.05
0.415,1.478,1.026,0.471,0.338,0.1,-0.1
0.408,1.444,1.055,0.499,0.338,0.1,-0.1
0.305,1.281,1.053,0.514,0.339,0.1,-0.1
0.304,1.433,1.03,0.512,0.34,0.1,-0.05
0.304,1.585,1.019,0.524,0.341,0.1,0
0.306,1.552,0.998,0.527,0.343,0.1,0
0.308,1.534,0.979,0.532,0.345,0.1,0.05
0.31,1.519,0.954,0.531,0.346,0.1,0.1
0.313,1.486,0.94,0.534,0.349,0.1,0
0.317,1.45,0.913,0.528,0.35,0.1,0
0.319,1.435,0.897,0.524,0.35,0.1,0
0.32,1.415,0.866,0.525,0.352,0.1,0
0.329,1.387,0.847,0.516,0.352,0.1,-0.1
0.338,1.395,0.833,0.53,0.353,0.1,-0.1
0.346,1.393,0.824,0.538,0.353,0.1,-0.1
0.36,1.379,0.814,0.563,0.356,0.1,0
0.377,1.371,0.804,0.578,0.359,0.1,0
0.392,1.342,0.78,0.57,0.361,0.1,0.1
0.414,1.313,0.751,0.559,0.362,0.1,0.1
0.435,1.28,0.734,0.55,0.364,0.1,0.05
0.458,1.233,0.709,0.541,0.365,0.1,0
0.479,1.217,0.686,0.529,0.365,0.1,-0.05
0.493,1.209,0.68,0.51,0.367,0.1,-0.1
0.51,1.199,0.671,0.483,0.368,0.1,-0.2
0.508,1.187,0.662,0.462,0.369,0.1,-0.3
0.5,1.207,0.669,0.453,0.373,0.1,-0.4
0.494,1.221,0.664,0.443,0.377,0.1,-0.4
0.481,1.281,0.684,0.44,0.388,0.1,-0.4
0.47,1.316,0.698,0.439,0.402,0.1,-0.4
0.464,1.352,0.737,0.45,0.421,0.1,-0.4
0.459,1.403,0.759,0.463,0.428,0.1,-0.4
0.456,1.458,0.832,0.488,0.394,0.1,-0.4
0.456,1.485,0.866,0.499,0.382,0.1,-0.4
0.455,1.471,0.885,0.494,0.378,0.1,-0.35
0.456,1.456,0.917,0.506,0.376,0.1,-0.3
0.455,1.448,0.916,0.511,0.378,0.1,-0.2
0.456,1.441,0.931,0.522,0.383,0.1,-0.2
0.455,1.429,0.915,0.523,0.387,0.1,-0.2
0.453,1.433,0.924,0.539,0.399,0.1,-0.1
0.45,1.436,0.917,0.55,0.412,0.1,-0.1
0.446,1.415,0.901,0.548,0.418,0.1,-0.1
0.443,1.416,0.9,0.555,0.421,0.1,-0.1
0.437,1.413,0.886,0.558,0.42,0.1,-0.1
0.43,1.398,0.876,0.573,0.418,0.1,-0.1
0.426,1.38,0.863,0.57,0.417,0.1,-0.1
0.422,1.379,0.853,0.579,0.416,0.1,-0.1
0.417,1.367,0.844,0.586,0.415,0.1,-0.05
0.413,1.366,0.841,0.596,0.416,0.1,0
0.406,1.341,0.827,0.588,0.417,0.1,0
0.398,1.313,0.797,0.58,0.417,0.1,0
0.392,1.3,0.781,0.57,0.418,0.1,0
0.387,1.262,0.757,0.561,0.418,0.1,0
0.382,1.249,0.74,0.551,0.418,0.1,-0.05
0.38,1.227,0.727,0.543,0.419,0.1,-0.1
0.378,1.225,0.719,0.538,0.419,0.1,-0.1
0.378,1.215,0.714,0.535,0.419,0.1,-0.2
0.378,1.221,0.718,0.531,0.421,0.1,-0.25
0.378,1.253,0.738,0.528,0.426,0.1,-0.3
0.378,1.281,0.749,0.525,0.43,0.1,-0.3
0.378,1.313,0.769,0.519,0.439,0.1,-0.3
0.379,1.341,0.789,0.513,0.452,0.1,-0.3
0.381,1.395,0.815,0.507,0.457,0.1,-0.3
0.381,1.428,0.837,0.501,0.453,0.1,-0.3
0.382,1.494,0.865,0.499,0.453,0.1,-0.3
